flight_date,flight_number,from_full,to_full,from_airport,to_airport,aircraft,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,scheduled_hour,day_of_week,next_flight_dep,next_flight_delay,turnaround_mins,cascade_score
2025-07-19, ,Mumbai (BOM),Istanbul (IST),BOM,IST,A333 (TC-JOK),2025-07-19 06:40:00,2025-07-19 07:01:00,2025-07-19 10:55:00,2025-07-19 10:42:00,21.0,-13.0,6,Saturday,,,,0.0
2025-07-21, ,Mumbai (BOM),Istanbul (IST),BOM,IST,A333 (TC-LND),2025-07-21 06:40:00,2025-07-21 07:32:00,2025-07-21 10:55:00,2025-07-21 11:00:00,52.0,5.0,6,Monday,,,,0.0
2025-07-22, ,Mumbai (BOM),Istanbul (IST),BOM,IST,A333 (TC-LNE),2025-07-22 06:40:00,2025-07-22 07:47:00,2025-07-22 10:55:00,2025-07-22 11:24:00,67.0,29.0,6,Tuesday,,,,0.0
2025-07-24, ,Mumbai (BOM),Istanbul (IST),BOM,IST,A333 (TC-LOF),2025-07-24 06:40:00,2025-07-24 07:48:00,2025-07-24 10:55:00,2025-07-24 11:29:00,68.0,34.0,6,Thursday,,,,0.0
2025-07-25, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,B38M (A4O-MJ),2025-07-25 08:40:00,2025-07-25 09:25:00,2025-07-25 09:50:00,2025-07-25 10:00:00,45.0,10.0,8,Friday,,,,0.0
2025-07-19, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-19 06:45:00,2025-07-19 07:05:00,2025-07-19 08:40:00,2025-07-19 08:36:00,20.0,-4.0,6,Saturday,2025-07-20 06:53:00,8.0,1337.0,0.0
2025-07-20, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-20 06:45:00,2025-07-20 06:53:00,2025-07-20 08:40:00,2025-07-20 08:16:00,8.0,-24.0,6,Sunday,2025-07-21 07:42:00,57.0,1406.0,0.0
2025-07-21, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-21 06:45:00,2025-07-21 07:42:00,2025-07-21 08:40:00,2025-07-21 09:08:00,57.0,28.0,6,Monday,2025-07-22 06:57:00,12.0,1309.0,0.0
2025-07-22, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-22 06:45:00,2025-07-22 06:57:00,2025-07-22 08:40:00,2025-07-22 08:23:00,12.0,-17.0,6,Tuesday,2025-07-23 06:56:00,11.0,1353.0,0.0
2025-07-23, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-23 06:45:00,2025-07-23 06:56:00,2025-07-23 08:40:00,2025-07-23 08:25:00,11.0,-15.0,6,Wednesday,2025-07-24 07:09:00,24.0,1364.0,0.0
