s_no,flight_number,date,from,to,aircraft,flight_time,std,atd,sta,,ata,.1,.2
, ,2025-07-20,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),02:00:00,07:35:00,08:00:00,08:35:00,,Landed 8:30 AM,  , 
, ,2025-07-19,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVI),02:00:00,06:25:00,06:55:00,07:25:00,,Landed 7:25 AM,  , 
, ,2025-07-25,Mumbai (BOM),Chennai (MAA),A21N (VT-ICW),01:34:00,06:25:00,06:32:00,08:30:00,,Landed 8:07 AM,  , 
, ,2025-07-24,Mumbai (BOM),Chennai (MAA),A21N (VT-ILO),01:33:00,06:25:00,06:37:00,08:30:00,,Landed 8:09 AM,  , 
, ,2025-07-23,Mumbai (BOM),Chennai (MAA),A21N (VT-IML),01:38:00,06:25:00,06:44:00,08:30:00,,Landed 8:22 AM,  , 
, ,2025-07-22,Mumbai (BOM),Chennai (MAA),A21N (VT-ILG),01:31:00,06:25:00,06:32:00,08:30:00,,Landed 8:03 AM,  , 
, ,2025-07-21,Mumbai (BOM),Chennai (MAA),A21N (VT-IUO),01:34:00,06:25:00,06:43:00,08:30:00,,Landed 8:17 AM,  , 
, ,2025-07-20,Mumbai (BOM),Chennai (MAA),A21N (VT-ICG),01:34:00,06:25:00,06:25:00,08:30:00,,Landed 7:58 AM,  , 
, ,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ICG),01:40:00,06:25:00,06:21:00,08:30:00,,Landed 8:02 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),03:02:00,06:30:00,07:07:00,07:30:00,,Landed 7:39 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bahrain (BAH),A21N (A9C-ND),02:55:00,06:30:00,06:25:00,07:30:00,,Landed 6:50 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bahrain (BAH),A321 (A9C-CC),02:53:00,06:30:00,06:49:00,07:30:00,,Landed 7:12 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),02:56:00,06:30:00,06:36:00,07:30:00,,Landed 7:02 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),02:53:00,06:30:00,09:29:00,07:30:00,,Landed 9:52 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bahrain (BAH),A21N (A9C-NA),02:59:00,06:30:00,06:24:00,07:30:00,,Landed 6:53 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bahrain (BAH),A21N (A9C-NB),02:55:00,06:30:00,06:34:00,07:30:00,,Landed 6:59 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTX),01:17:00,06:35:00,06:39:00,08:30:00,,Landed 7:56 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTL),01:18:00,06:35:00,06:39:00,08:30:00,,Landed 7:58 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),01:23:00,06:35:00,06:45:00,08:30:00,,Landed 8:08 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),01:20:00,06:35:00,07:15:00,08:30:00,,Landed 8:35 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTK),01:17:00,06:35:00,06:49:00,08:30:00,,Landed 8:06 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),01:21:00,06:35:00,06:33:00,08:30:00,,Landed 7:55 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-EXQ),01:16:00,06:35:00,06:37:00,08:30:00,,Landed 7:54 AM,  , 
, ,2025-07-25,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXH),06:05:00,06:35:00,07:05:00,14:50:00,,Landed 2:40 PM,  , 
, ,2025-07-24,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXM),06:14:00,06:35:00,07:07:00,14:50:00,,Landed 2:51 PM,  , 
, ,2025-07-23,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXG),06:08:00,06:35:00,07:19:00,14:50:00,,Landed 2:57 PM,  , 
, ,2025-07-22,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXM),05:55:00,06:35:00,07:11:00,14:50:00,,Landed 2:36 PM,  , 
, ,2025-07-21,Mumbai (BOM),Jakarta (CGK),A20N (VT-IIX),06:11:00,06:35:00,07:11:00,14:50:00,,Landed 2:51 PM,  , 
, ,2025-07-20,Mumbai (BOM),Jakarta (CGK),A20N (VT-IIU),06:01:00,06:35:00,06:57:00,14:50:00,,Landed 2:29 PM,  , 
, ,2025-07-19,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXF),06:11:00,06:35:00,07:20:00,14:50:00,,Landed 3:01 PM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-TQN),01:50:00,06:40:00,06:50:00,08:45:00,,Landed 8:40 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TQK),01:51:00,06:40:00,06:53:00,08:45:00,,Landed 8:44 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TNE),01:48:00,06:40:00,06:53:00,08:45:00,,Landed 8:41 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-TNJ),01:43:00,06:40:00,07:00:00,08:45:00,,Landed 8:43 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-TNJ),01:47:00,06:40:00,06:53:00,08:45:00,,Landed 8:40 AM,  , 
, ,2025-07-20,Mumbai (BOM),Delhi (DEL),B788 (VT-ANH),01:38:00,06:40:00,07:48:00,08:45:00,,Landed 9:26 AM,  , 
, ,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TNI),01:44:00,06:40:00,06:52:00,08:45:00,,Landed 8:36 AM,  , 
, ,2025-07-25,Mumbai (BOM),Istanbul (IST),A333 (TC-JOF),06:16:00,06:40:00,07:10:00,10:55:00,,Landed 10:56 AM,  , 
, ,2025-07-24,Mumbai (BOM),Istanbul (IST),A333 (TC-LOF),06:11:00,06:40:00,07:48:00,10:55:00,,Landed 11:29 AM,  , 
, ,2025-07-23,Mumbai (BOM),Istanbul (IST),A333 (TC-JNS),06:02:00,06:40:00,07:05:00,10:55:00,,Landed 10:37 AM,  , 
, ,2025-07-22,Mumbai (BOM),Istanbul (IST),A333 (TC-LNE),06:07:00,06:40:00,07:47:00,10:55:00,,Landed 11:24 AM,  , 
, ,2025-07-21,Mumbai (BOM),Istanbul (IST),A333 (TC-LND),05:58:00,06:40:00,07:32:00,10:55:00,,Landed 11:00 AM,  , 
, ,2025-07-20,Mumbai (BOM),Istanbul (IST),A333 (TC-JOJ),06:14:00,06:40:00,07:17:00,10:55:00,,Landed 11:01 AM,  , 
, ,2025-07-19,Mumbai (BOM),Istanbul (IST),A333 (TC-JOK),06:11:00,06:40:00,07:01:00,10:55:00,,Landed 10:42 AM,  , 
, ,2025-07-25,Mumbai (BOM),Indore (IDR),A21N (VT-IME),00:55:00,06:40:00,06:45:00,08:00:00,,Landed 7:40 AM,  , 
, ,2025-07-24,Mumbai (BOM),Indore (IDR),A21N (VT-ICL),00:54:00,06:40:00,06:58:00,08:00:00,,Landed 7:52 AM,  , 
, ,2025-07-23,Mumbai (BOM),Indore (IDR),A21N (VT-ICZ),00:55:00,07:00:00,07:01:00,08:00:00,,Landed 7:56 AM,  , 
, ,2025-07-22,Mumbai (BOM),Indore (IDR),A21N (VT-IRW),00:56:00,06:40:00,06:52:00,08:00:00,,Landed 7:48 AM,  , 
, ,2025-07-21,Mumbai (BOM),Indore (IDR),A21N (VT-IRZ),00:54:00,06:40:00,06:54:00,08:00:00,,Landed 7:48 AM,  , 
, ,2025-07-20,Mumbai (BOM),Indore (IDR),A21N (VT-IMI),00:54:00,06:40:00,06:34:00,08:00:00,,Landed 7:28 AM,  , 
, ,2025-07-19,Mumbai (BOM),Indore (IDR),A21N (VT-IBO),00:55:00,06:40:00,06:51:00,08:00:00,,Landed 7:47 AM,  , 
, ,2025-07-25,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQM),02:27:00,06:45:00,06:55:00,09:30:00,,Landed 9:22 AM,  , 
, ,2025-07-24,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQP),02:29:00,06:45:00,07:02:00,09:30:00,,Landed 9:31 AM,  , 
, ,2025-07-23,Mumbai (BOM),Kolkata (CCU),A20N (VT-TNK),02:30:00,06:45:00,07:00:00,09:30:00,,Landed 9:30 AM,  , 
, ,2025-07-22,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQV),02:39:00,06:45:00,06:53:00,09:30:00,,Landed 9:32 AM,  , 
, ,2025-07-21,Mumbai (BOM),Kolkata (CCU),A20N (VT-TNQ),02:30:00,06:45:00,06:57:00,09:30:00,,Landed 9:27 AM,  , 
, ,2025-07-20,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQS),02:30:00,06:45:00,06:50:00,09:30:00,,Landed 9:21 AM,  , 
, ,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQW),02:25:00,06:45:00,06:56:00,09:30:00,,Landed 9:22 AM,  , 
, ,2025-07-25,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:27:00,06:45:00,06:46:00,08:40:00,,Landed 8:14 AM,  , 
, ,2025-07-24,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:30:00,06:45:00,07:09:00,08:40:00,,Landed 8:39 AM,  , 
, ,2025-07-23,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:29:00,06:45:00,06:56:00,08:40:00,,Landed 8:25 AM,  , 
, ,2025-07-22,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:26:00,06:45:00,06:57:00,08:40:00,,Landed 8:23 AM,  , 
, ,2025-07-21,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:26:00,06:45:00,07:42:00,08:40:00,,Landed 9:08 AM,  , 
, ,2025-07-20,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:23:00,06:45:00,06:53:00,08:40:00,,Landed 8:16 AM,  , 
, ,2025-07-19,Mumbai (BOM),Jaipur (JAI),B38M (VT-BXH),01:30:00,06:45:00,07:05:00,08:40:00,,Landed 8:36 AM,  , 
, ,2025-07-25,Mumbai (BOM),Chennai (MAA),A20N (VT-EXT),01:46:00,06:50:00,07:04:00,08:55:00,,Landed 8:50 AM,  , 
, ,2025-07-24,Mumbai (BOM),Chennai (MAA),A20N (VT-RTS),01:43:00,06:50:00,07:05:00,08:55:00,,Landed 8:47 AM,  , 
, ,2025-07-23,Mumbai (BOM),Chennai (MAA),A20N (VT-RTL),01:45:00,06:50:00,07:13:00,08:55:00,,Landed 8:59 AM,  , 
, ,2025-07-22,Mumbai (BOM),Chennai (MAA),A20N (VT-EXU),01:38:00,06:50:00,06:59:00,08:55:00,,Landed 8:37 AM,  , 
, ,2025-07-21,Mumbai (BOM),Chennai (MAA),A20N (VT-EXV),01:43:00,06:50:00,07:09:00,08:55:00,,Landed 8:52 AM,  , 
, ,2025-07-20,Mumbai (BOM),Chennai (MAA),A20N (VT-RTU),01:41:00,06:50:00,06:58:00,08:55:00,,Landed 8:39 AM,  , 
, ,2025-07-19,Mumbai (BOM),Chennai (MAA),A20N (VT-RTU),01:40:00,06:50:00,07:12:00,08:55:00,,Landed 8:52 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bhuj (BHJ),A20N (VT-TYC),00:58:00,06:50:00,06:59:00,08:05:00,,Landed 7:57 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bhuj (BHJ),A21N (VT-TVH),00:58:00,06:50:00,06:57:00,08:05:00,,Landed 7:55 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bhuj (BHJ),A321 (VT-PPM),00:59:00,06:50:00,07:03:00,08:05:00,,Landed 8:01 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bhuj (BHJ),A321 (VT-PPO),01:03:00,06:50:00,07:01:00,08:05:00,,Landed 8:04 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bhuj (BHJ),A20N (VT-CIG),01:02:00,06:50:00,07:05:00,08:05:00,,Landed 8:07 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bhuj (BHJ),A20N (VT-EXL),01:00:00,06:50:00,07:01:00,08:05:00,,Landed 8:02 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bhuj (BHJ),A20N (VT-RTK),01:01:00,06:50:00,06:59:00,08:05:00,,Landed 8:00 AM,  , 
, ,2025-07-25,Mumbai (BOM),Darbhanga (DBR),B739 (VT-SLC),02:36:00,06:50:00,09:56:00,09:15:00,,Landed 12:32 PM,  , 
, ,2025-07-24,Mumbai (BOM),Darbhanga (DBR),B738 (VT-SLF),02:13:00,06:50:00,07:06:00,09:15:00,,Landed 9:19 AM,  , 
, ,2025-07-22,Mumbai (BOM),Darbhanga (DBR),B738 (VT-SLG),02:21:00,06:50:00,07:04:00,09:15:00,,Landed 9:25 AM,  , 
, ,2025-07-21,Mumbai (BOM),Darbhanga (DBR),B738 (VT-SLG),02:16:00,06:50:00,07:00:00,09:15:00,,Landed 9:15 AM,  , 
, ,2025-07-20,Mumbai (BOM),Darbhanga (DBR),B738 (VT-SLF),02:13:00,06:50:00,07:13:00,09:15:00,,Landed 9:26 AM,  , 
, ,2025-07-19,Mumbai (BOM),Darbhanga (DBR),B738 (VT-SLF),02:12:00,06:50:00,10:13:00,09:15:00,,Landed 12:25 PM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),01:43:00,07:00:00,07:02:00,09:10:00,,Landed 8:45 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),A21N (VT-NCO),01:49:00,07:00:00,07:03:00,09:10:00,,Landed 8:52 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),01:48:00,07:05:00,07:16:00,09:10:00,,Landed 9:04 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),A21N (VT-NCN),01:40:00,07:00:00,07:08:00,09:10:00,,Landed 8:48 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),A21N (VT-NCM),01:42:00,07:00:00,07:19:00,09:10:00,,Landed 9:00 AM,  , 
